transaction_id,user_id,payment_method,merchant_name,standardized_transaction_date,status,risk_score,standardize_gateway_region,amount_usd,high_value_flag,high_risk_flag,,transaction_date,rawmerchant_name ,raw_amount,currency,status raw,raw_risk_score,gateway_region,,,,,,,
T001,U001,UPI,ALPHA MART,3/1/2026,captured,62,APAC,4998,0,0,,2026-03-01,alpha mart,420000,INR,captured,score:62,APAC,,,,,,,
T002,U002,Card,ALPHA MART,3/1/2026,captured,55,APAC,2499,0,0,,2026-03-01,ALPHA MART,210000,INR,Captured,55,,,,,,,,
T003,U003,NetBanking,BETA STORES,3/1/2026,captured,71,APAC,6069,1,1,,2026-03-01,BETA STORES,510000,INR,CAPTURED,71,APAC,,,,,,,
T004,U004,Card,BETA STORES,3/2/2026,failed,68,APAC,1920,0,0,,2026-03-02,Beta  Stores,160000,INR,failed e05 timeout,68,apac,,,,,,,
T005,U001,UPI,ALPHA MART,3/2/2026,captured,58,APAC,4680,0,0,,2026-03-02,Alpha Mart,390000,INR,CAPTURED,58,,,Number of High Value transactions - ,,Total cleaned rows - ,,Total numers of raw rows -,
T006,U005,Wallet,BETA STORES,3/2/2026,captured,64,APAC,3300,0,0,,2026-03-02,Beta  Stores,275000,INR,Captured,score:64,,,7,,154,,206,
T007,U006,Card,ALPHA MART,3/2/2026,chargeback,83,APAC,5400,1,1,,2026-03-02,Alpha  Mart,450000,INR,chargeback,risk-83,APAC,,,,.,,,
T008,U007,UPI,BETA STORES,3/3/2026,captured,59,APAC,4114,0,0,,2026-03-03,BETA STORES,340000,INR,Captured,59,,,Number of high risk transactions - ,,Invalid / missing rows handled - ,,Top Region by GMV -,
T009,U002,Wallet,ALPHA MART,3/3/2026,captured,46,APAC,1512.5,0,0,,2026-03-03,Alpha Mart,125000,INR,captured,46,APAC,,9,,52,,standardize_gateway_region,sum amount_usd
T010,U003,Card,BETA STORES,3/3/2026,captured,77,APAC,7381,1,1,,2026-03-03,Beta Stores,610000,INR,captured,risk-77,,,,,,,APAC,82594
T011,U008,UPI,ALPHA MART,3/3/2026,failed,0,APAC,2359.5,0,0,,2026-03-03,Alpha  Mart,195000,INR,FAILED e05 TIMEOUT,,,,Top merchant by captured GMV - ,,,,,
T012,U009,Card,BETA STORES,3/4/2026,captured,61,APAC,3000,0,0,,2026-03-04,Beta  Stores,250000,INR,captured,risk-61,APAC,,merchant_name,sum amount_usd,,,,
T013,U010,UPI,ALPHA MART,3/4/2026,captured,54,APAC,3720,0,0,,2026-03-04,alpha mart,310000,INR,captured,score:54,APAC,,BETA STORES,33431,,,,
T014,U001,NetBanking,BETA STORES,3/4/2026,captured,73,APAC,5640,1,1,,2026-03-04,Beta  Stores,470000,INR,captured,risk-73,APAC,,,,,,,
T015,U002,Card,ALPHA MART,3/4/2026,captured,52,APAC,1560,0,0,,2026-03-04,Alpha Mart,130000,INR,captured,score:52,,,,,,,,
T016,U008,Card,BETA STORES,3/5/2026,failed,69,APAC,2596,0,0,,2026-03-05,Beta  Stores,220000,INR,failed E05 timeout,risk-69,,,,,,,,
T017,U008,Card,BETA STORES,3/5/2026,failed,72,APAC,2124,0,1,,2026-03-05,Beta  Stores,180000,INR,Failed E05 Timeout,score:72,apac,,,,,,,
T018,U008,UPI,BETA STORES,3/5/2026,chargeback,86,APAC,1711,0,1,,2026-03-05,BETA STORES,145000,INR,chargeback,risk-86,APAC,,,,,,,
T019,U008,Wallet,ALPHA MART,3/5/2026,failed,67,APAC,3068,0,0,,2026-03-05,Alpha  Mart,260000,INR,Failed E05 Timeout,score:67,apac,,,,,,,
T020,U005,UPI,ALPHA MART,3/5/2026,captured,75,APAC,6136,1,1,,2026-03-05,Alpha Mart,520000,INR,Captured,75,APAC,,,,,,,
T021,U006,Card,BETA STORES,3/6/2026,captured,63,APAC,3927,0,0,,2026-03-06,beta stores,330000,INR,captured,score:63,,,,,,,,
T022,U007,UPI,ALPHA MART,3/6/2026,captured,60,APAC,4879,0,0,,2026-03-06,ALPHA MART,410000,INR,captured,60,APAC,,,,,,,
T023,U003,Card,CITY PHARMA,3/1/2026,captured,42,EU,5616,0,0,,2026-03-01,City Pharma,5200,EUR,Captured,42,EU,,,,,,,
T024,U004,Card,ECO HOME,3/2/2026,chargeback,65,EU,6649,1,1,,2026-03-02,Eco Home,6100,EUR,chargeback,score:65,EU,,,,,,,
T025,U005,Wallet,CITY PHARMA,3/3/2026,captured,38,EU,3024,0,0,,2026-03-03,City Pharma,2800,EUR,captured,38,eu,,,,,,,
T026,U006,NetBanking,ECO HOME,3/5/2026,failed,44,EU,3597,0,0,,2026-03-05,Eco Home,3300,EUR,Failed E05 Timeout,44,EU,,,,,,,
T027,U007,Card,DELTA TRAVELS,3/1/2026,captured,49,US,7200,1,0,,2026-03-01,DELTA TRAVELS,7200,USD,captured,49,us,,,,,,,
T028,U008,Card,DELTA TRAVELS,3/2/2026,captured,41,US,3100,0,0,,2026-03-02,Delta Travels,3100,USD,CAPTURED,risk-41,US,,,,,,,
T029,U009,Wallet,DELTA TRAVELS,3/4/2026,chargeback,58,US,2500,0,1,,2026-03-04,delta travels,2500,USD,chargeback,score:58,US,,,,,,,
T030,U010,UPI,DELTA TRAVELS,3/6/2026,failed,47,US,1800,0,0,,2026-03-06,DELTA TRAVELS,1800,USD,Failed E05 Timeout,score:47,US,,,,,,,
